,,,,,
CÓDIGO,CÓD. BARRAS,DESCRIÇĂO,PONTO,FRAC,Fornecedor
166697-7,7897664172302,AMAC ASSIM 2L AZUL 2825,50,6,Assim
166698-4,7897664172319,AMAC ASSIM 2L ROSA 2826,50,6,Assim
206174-0,7908324405170,AMAC ASSIM 500ML AZUL 2826,100,12,Assim
205245-8,7908324404876,SABAO BARRA ASSIM 180G COCO,200,24,Assim
205246-5,7908324404852,SABAO BARRA ASSIM 180G NEUTRO,200,24,Assim
202327-4,7908324403978,SABAO BARRA ASSIM 5X180G 4163,150,10,Assim
205244-1,7908324404869,SABAO BARRA ASSIM 5X180G COCO,150,10,Assim
196893-4,7908324403053,SABAO BARRA ASSIM 80G ROUPAS BCA 3956,200,12,Assim
184252-4,7908324401752,SABAO BARRA ASSIM 80G ROUPAS COL E BCA 3643,200,12,Assim
206167-2,7908324405217,SABAO LIQ ASSIM 1L BICARBONATO 4669,50,3,Assim
206170-2,7908324405187,SABAO LIQ ASSIM 3L BICARBONATO 4666,50,4,Assim
206171-9,7908324405194,SABAO LIQ ASSIM 3L MICELAR 4667,50,4,Assim
182347-9,7908324401738,"SABAO PO ASSIM 1,6KG CX TRIP",50,9,Assim
196734-0,7908324402728,"SABAO PO ASSIM 1,6KG SCH TRIP EMB ECON 3927",50,10,Assim
196733-3,7908324402742,"SABAO PO ASSIM 1,6KG SCH TRIP MICELAR EMB ECON",50,10,Assim
196149-2,7908324402797,"SABAO PO ASSIM 2,4KG SCH TRIP 3933",80,6,Assim
196026-6,7908324402759,SABAO PO ASSIM 400G CX TRIP 3930,50,12,Assim
196151-5,7908324402735,SABAO PO ASSIM 400G CX TRIP FLORAL 3929,50,12,Assim
196157-7,7908324402773,SABAO PO ASSIM 400G SCH TRIP 3931,50,12,Assim
196158-4,7908324402766,SABAO PO ASSIM 400G SCH TRIP FLORAL 3937,50,12,Assim
196153-9,7908324402810,SABAO PO ASSIM 4KG SCH TRIP 3935,80,4,Assim
196024-2,7908324402681,SABAO PO ASSIM 800G CX TRIP 3924,40,10,Assim
196845-3,7908324402698,SABAO PO ASSIM 800G CX TRIP MICELAR 3925,40,10,Assim
196155-3,7908324402711,SABAO PO ASSIM 800G SCH TRIP FLORAL 3936,160,10,Assim
196025-9,7908324402704,SABAO PO ASSIM 800G SCH TRIPLACAO,160,10,Assim
196865-1,7908324402346,"SANIT PO ASSIM 1,6KG SCH ANTIBAC EMB ECON 3792",50,10,Assim
197170-5,7908324402339,SANIT PO ASSIM 400G SCH ANTIBACTERICIDA 3790,100,24,Assim
190783-4,7908324402322,SANIT PO ASSIM 800G CX ANTIBAC 3791,80,20,Assim
202845-3,7908324404708,SANIT PO ASSIM 800G SCH ANTIBAC EMB ECON,80,20,Assim
197171-2,7908324403046,TIRA MANCHAS ASSIM PO 380G SACHET ROSA 3961,150,2,Assim
